Exchange, URL, REPO, Whitepaper/Docs, DEX GRADE, Status, Protocol, Reference
{Set}, https://setprotocol.com/, https://github.com/SetProtocol/set-protocol-contracts, https://whitepaper.setprotocol.com/, , (released), {Set} protocol, 2
0x, https://0xproject.com, https://github.com/0xProject, https://0xproject.com/pdfs/0x_white_paper.pdf, , (operating), 0x protocol, 2
0x Portal, https://0xproject.com/portal/, , , , (operating), 0x protocol, 
0xchange, https://0xchange.me/, https://github.com/0xchange/0xchange, https://devpost.com/software/0xchange-me, , (operating), 0x protocol, 
Aermos, http://www.aermos.com, , http://www.aermos.com/concept/, FULLY, (developing), TBC, 
AirSwap, https://www.airswap.io/, https://github.com/airswap, https://swap.tech/whitepaper/, , (operating), swap protocol, 
Altcoin Exchange, https://www.altcoin.io/, https://github.com/AltCoinExchange/, , , (developing), raiden protocol, 
ALTTEX, https://alttex.io/, https://github.com/alttex/Alt-exchange, https://alttex.io/WhitePaper_Eng.pdf, , (developing), 0x protocol, 
Amadeus Relay, http://amadeusrelay.org/, https://github.com/AmadeusRelay, , , (developing), 0x protocol, 
Aphelion, https://aphelion.org/, https://github.com/aphtoken/, https://aphelion.org/wp.html, , (developing - launch Q1 2018), deal protocol, 
Arbidex, http://arbidex.ch/, https://github.com/Arbidex, https://arbidex.uk.com/assets/wp_en.pdf, , (developing - launch Q4 2018), TBC, 
ATLANT DEX, https://trade.atlant.io, https://github.com/AtlantPlatform/atlant-dex, https://atlant.io/assets/documents/en/Atlant_WP_publish.pdf, , (Token Launch), atlant protocol, 
atomicDEX, , https://github.com/ca333/atomicDEX, , , (developing), TBC, 
ATUM, https://atumchain.com/, , , , (developing), cross-chain (NEM), 
B&C Exchange, https://bcexchange.org/, https://bitbucket.org/JordanLeePeershares/bcexchange/src, https://bcexchange.org/assets/Blocks_&_Chains_Decentralized_Exchange.pdf, , (operating), bcexchange protocol, 
b0x, https://b0x.network/, https://github.com/b0xNetwork, https://b0x.network/pdfs/b0x_white_paper.pdf, , (developing - TGE expected Q2 2018), b0x protocol (margin lending/trading and oracle marketplace), 
Bancor, https://app.bancor.network/discover/, https://github.com/bancorprotocol/, https://about.bancor.network/Whitepaper, , (operating), bancor protocol, 
BarterDEX, http://barterdex.com/, https://github.com/KomodoPlatform/BarterDEX, https://www.komodoplatform.com/en/technology/whitepaper/2018-02-03-Komodo-White-Paper-Full.pdf, , (operating), barterdex protocol, 
Binkd, https://www.binkd.com/, https://github.com/binkd, https://www.binkd.com/pdfs/Binkd-White-Paper.pdf, , (developing), 0x protocol, 3
Bisq, https://bisq.network/, https://github.com/bisq-network, https://github.com/bisq-network/docs/blob/master/exchange/whitepaper.adoc, FULLY, (operating), Bisq protocol, 6
BitPoint, http://bitpoint.network/, https://github.com/BitPointNetwork, , , (operating), 0x protocol, 6
Bitox Exchange, https://twitter.com/bitox_exchange/, , , , (developing), 0x protocol, 
BitShares, https://wallet.bitshares.org/, https://github.com/bitshares, http://docs.bitshares.org/bitshares/papers/, , (operating), bitshares protocol (DPOS), 
